N,CONSTRUCTOR,PU,COLORCODE
HAM,Mercedes,Mercedes,#00d2be
BOT,Mercedes,Mercedes,#00d2be
STR,Racing Point,Mercedes,#f596c8
PER,Racing Point,Mercedes,#f596c8
HUL,Racing Point,Mercedes,#f596c8
RUS,Williams,Mercedes,#0082fa
LAT,Williams,Mercedes,#0082fa
AIT,Williams,Mercedes,#0082fa
NIS,Williams,Mercedes,#0082fa
VET,Ferrari,Ferrari,#dc0000
LEC,Ferrari,Ferrari,#dc0000
RAI,Alfa Romeo,Ferrari,#9b0000
GIO,Alfa Romeo,Ferrari,#9b0000
KUB,Alfa Romeo,Ferrari,#9b0000
GRO,Haas,Ferrari,#787878
MAG,Haas,Ferrari,#787878
VER,Red Bull,Honda,#5696f2
ALB,Red Bull,Honda,#5696f2
GAS,AlphaTauri,Honda,#ffffff
KVY,AlphaTauri,Honda,#ffffff
RIC,Renault,Renault,#fff500
OCO,Renault,Renault,#fff500
SAI,McLaren,Renault,#ff8700
NOR,McLaren,Renault,#ff8700
